Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-14,The Wolverine,2013,https://boxd.it/8tns3N,3.5,,,2025-01-14
2025-01-14,The Terminator,1984,https://boxd.it/8tnsa5,3,,,2025-01-14
2025-01-14,Green Book,2018,https://boxd.it/8tnshb,3.5,,,2025-01-14
2025-01-14,Kung Fu Panda,2008,https://boxd.it/8tnsnt,3.5,,,2025-01-14
2025-01-14,The Hangover,2009,https://boxd.it/8tnsuf,3.5,,,2025-01-14
2025-01-14,A Clockwork Orange,1971,https://boxd.it/8tnsAx,4,,,2025-01-14
2025-01-14,Catch Me If You Can,2002,https://boxd.it/8tnsE5,3.5,,,2025-01-14
2025-01-14,No Country for Old Men,2007,https://boxd.it/8tnsK3,3.5,,,2025-01-14
2025-01-14,Taxi Driver,1976,https://boxd.it/8tnsQb,3.5,,,2025-01-14
2025-01-14,The Wolf of Wall Street,2013,https://boxd.it/8tnsY5,3.5,,,2025-01-14
2025-01-14,Joker,2019,https://boxd.it/8tnt8p,3.5,,,2025-01-14
2025-01-14,Parasite,2019,https://boxd.it/8tntfZ,3.5,,,2025-01-14
2025-01-14,Stay,2005,https://boxd.it/8tntlN,4,,,2025-01-14
2025-01-14,Perfume: The Story of a Murderer,2006,https://boxd.it/8tntrB,4,,,2025-01-14
2025-01-14,Jarhead,2005,https://boxd.it/8tntzl,4,,,2025-01-14
2025-01-14,The Pale Blue Eye,2022,https://boxd.it/8tntEZ,4,,,2025-01-14
2025-01-14,Fury,2014,https://boxd.it/8tntMJ,4,,,2025-01-14
2025-01-14,X-Men: First Class,2011,https://boxd.it/8tntUj,3.5,,,2025-01-14
2025-01-14,V for Vendetta,2005,https://boxd.it/8tnu2n,4,,,2025-01-14
2025-01-14,Full Metal Jacket,1987,https://boxd.it/8tnu7d,4,,,2025-01-14
2025-01-14,The Green Mile,1999,https://boxd.it/8tnudF,4,,,2025-01-14
2025-01-14,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/8tnujt,4,,,2025-01-14
2025-01-14,Logan,2017,https://boxd.it/8tnuqz,2.5,,,2025-01-14
2025-01-14,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/8tnuv5,4,,,2025-01-14
2025-01-14,Reservoir Dogs,1992,https://boxd.it/8tnuID,4.5,,,2025-01-14
2025-01-14,Nightcrawler,2014,https://boxd.it/8tnuPJ,4,,,2025-01-14
2025-01-14,Prisoners,2013,https://boxd.it/8tnuXD,4,,,2025-01-14
2025-01-14,Good Will Hunting,1997,https://boxd.it/8tnv53,4,,,2025-01-14
2025-01-14,Django Unchained,2012,https://boxd.it/8tnvfx,4.5,,,2025-01-14
2025-01-14,Se7en,1995,https://boxd.it/8tnvll,4.5,,,2025-01-14
2025-01-14,Fight Club,1999,https://boxd.it/8tnvql,4,,,2025-01-14
2025-01-14,The Basketball Diaries,1995,https://boxd.it/8tnvwN,4.5,,,2025-01-14
2025-01-14,Captain Fantastic,2016,https://boxd.it/8tnvCr,4,,,2025-01-14
2025-01-14,Stalker,1979,https://boxd.it/8tnvIT,4.5,,,2025-01-14
